GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC01
Id,Id2,Geography,With a disability; Estimate; Total civilian noninstitutionalized population
0400000US01,01,Alabama,775390
0400000US02,02,Alaska,83410
0400000US04,04,Arizona,854637
0400000US05,05,Arkansas,501757
0400000US06,06,California,4088523
0400000US08,08,Colorado,565570
0400000US09,09,Connecticut,389368
0400000US10,10,Delaware,111783
0400000US11,11,District of Columbia,77368
0400000US12,12,Florida,2673685
0400000US13,13,Georgia,1237621
0400000US15,15,Hawaii,153544
0400000US16,16,Idaho,217575
0400000US17,17,Illinois,1388827
0400000US18,18,Indiana,899267
0400000US19,19,Iowa,356551
0400000US20,20,Kansas,361479
0400000US21,21,Kentucky,751563
0400000US22,22,Louisiana,680623
0400000US23,23,Maine,208646
0400000US24,24,Maryland,638104
0400000US25,25,Massachusetts,781740
0400000US26,26,Michigan,1401476
0400000US27,27,Minnesota,584974
0400000US28,28,Mississippi,476197
0400000US29,29,Missouri,865207
0400000US30,30,Montana,138205
0400000US31,31,Nebraska,213642
0400000US32,32,Nevada,370381
0400000US33,33,New Hampshire,165149
0400000US34,34,New Jersey,925580
0400000US35,35,New Mexico,308280
0400000US36,36,New York,2232221
0400000US37,37,North Carolina,1344677
0400000US38,38,North Dakota,78060
0400000US39,39,Ohio,1583200
0400000US40,40,Oklahoma,606072
0400000US41,41,Oregon,580941
0400000US42,42,Pennsylvania,1730190
0400000US44,44,Rhode Island,138199
0400000US45,45,South Carolina,706323
0400000US46,46,South Dakota,101568
0400000US47,47,Tennessee,1001684
0400000US48,48,Texas,3120572
0400000US49,49,Utah,285608
0400000US50,50,Vermont,88112
0400000US51,51,Virginia,936175
0400000US53,53,Washington,906836
0400000US54,54,West Virginia,356167
0400000US55,55,Wisconsin,675224
0400000US56,56,Wyoming,74131
0400000US72,72,Puerto Rico,734789
